brand,category,price,product_id,thumbnail_url,url,was_price
Momax,Smartphones & Tablets,SAR69,IP77D,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_power_bank_10000mah_20w_pd_qc3_2_ports_usb-a_black_-_ip77d.jpg,https://blackbox.com.sa/en/momax-power-bank-10000mah-20w-pd-qc3-2ports-usb-a-black-ip77d.html,SAR89
Momax,Smartphones & Tablets,SAR69,IP77W,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_power_bank_10000mah_20w_pd_qc3_2_ports_usb-a_white_-_ip77w.2.jpg,https://blackbox.com.sa/en/momax-power-bank-10000mah-20w-pd-qc3-2ports-usb-a-white-ip77w.html,SAR89
Black and Decker,Small Kitchen Appliances,SAR199,FD1620-B5,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/b/l/black_decker_16_inch_table_fan_60w_3_speed_-_fd1620-b5.jpg,https://blackbox.com.sa/en/black-decker-16inch-table-fan-60w-3speed.html,SAR279
DOTS,Small Kitchen Appliances,SAR299,NI-301,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/_/2/_2000_3_6_360_-_ni-301.jpeg,https://blackbox.com.sa/en/dots-electric-heater-circular-design-2000w-6-quartz-tube-ni-301.html,SAR409
Nutricook,Small Kitchen Appliances,SAR539,NC-AF357V,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/a/5/a54_67_.jpg,https://blackbox.com.sa/en/nutricook-air-fryer-3-vision-5-7-l-1700-w-black.html,SAR849
Fakir,Small Kitchen Appliances,SAR299,FKRCHTK3887S,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/f/a/fakir_kaave_turkish_coffee_maker_735w_gray_-_fkrchtk3887s..jpg,https://blackbox.com.sa/en/fakir-kaave-turkish-coffee-maker-735w-gray.html,SAR589
KUMTEL,Small Kitchen Appliances,SAR199,KS-2700,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/_/2/_2000_3_-_ks-2700.jpg,https://blackbox.com.sa/en/kumtel-electric-heater-3-quartz-2000w-ks-2700.html,SAR259
HOMMER,Small Kitchen Appliances,SAR299,HSA403-10,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/h/o/hommer_water_dispenser_stand_hotcold_-_hsa403-10.jpeg,https://blackbox.com.sa/en/hommer-water-dispenser-stand-hot-cold-hsa403-10.html,SAR509
DOTS,Small Kitchen Appliances,SAR329,OH-13FN02,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/d/o/dots_oil_heater_13_fins_with_fan_2500_watt_white_-_oh-13fn02.png,https://blackbox.com.sa/en/dots-oil-heater-13fins-with-fan-2500w-white.html,SAR599
Kenwood,Small Kitchen Appliances,SAR594,OWMG510008,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/w/h/whatsapp_image_2020-04-28_at_12.47.12_pm.jpeg,https://blackbox.com.sa/en/kenwood-meat-mincer-1600-w-reverse-rotation-steel-owmg510008.html,SAR899
Delonghi,Small Kitchen Appliances,"SAR1,399",DLEC685.BK,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/d/e/delonghi_coffee_maker_1.1_l_15_bar_1300_w_black_-_dlec685.bk.jpg,https://blackbox.com.sa/en/delonghi-coffee-maker-power-of-15-bar-1300-watts-black-dlec685-bk.html,"SAR1,899"
Samsung,Large Appliances,"SAR2,449",WA11CG5786BYYL,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_top_load_washing_machine_11kg_touch_control_steam_grey_-_wa11cg5786byyl.8_1.jpg,https://blackbox.com.sa/en/samsung-top-load-washing-machine-11kg-touch-control-steam-grey-wa11cg5786byyl.html,"SAR4,289"
Samsung,Large Appliances,"SAR2,449",RT42CG6420WWZA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_refrigerator_top_freeze_2door_14.5ft_411l_thailand_white_-_rt42cg6420wwza_1_1.jpg,https://blackbox.com.sa/en/samsung-refrigerator-top-freeze-2-door-14-5ft-411l-thailand-white-rt42cg6420wwza.html,"SAR5,239"
Nikai,Large Appliances,SAR899,NCF150N23W,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/i/nikai_chest_freezer_3.5ft_100l_fast_cooling_white_-_ncf150n23w.jpg,https://blackbox.com.sa/en/nikai-chest-freezer-3-5ft-100l-fast-cooling-white-ncf150n23w.html,"SAR1,539"
Samsung,Large Appliances,"SAR7,499",RH69B8031SL/ZA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_side_by_side_refrigerator_3_doors_21ft_602l_poland_silver_-_rh69b8031slza.3.jpg,https://blackbox.com.sa/en/samsung-side-by-side-refrigerator-3doors-21ft-602l-poland-silver-rh69b8031slza.html,"SAR11,909"
Samsung,Large Appliances,"SAR2,199",RT35CG5420WWZA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_refrigerator_top_freeze_2door_12.2ft_350l_thailand_white_-_rt35cg5420wwza.jpg,https://blackbox.com.sa/en/samsung-refrigerator-top-freeze-2-door-12-2ft-350l-thailand-white-rt35cg5420wwza.html,"SAR4,289"
Samsung,Large Appliances,"SAR2,299",RT38CG6420WWZA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_refrigerator_top_freeze_2door_13.7ft_388l_white_-_rt38cg6420wwza.jpg,https://blackbox.com.sa/en/samsung-refrigerator-top-freeze-2door-13-7ft-388l-white.html,"SAR5,079"
Samsung,Large Appliances,"SAR6,099",WF24B9600KE/YL,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_washing_machine_front_load_24kg_dry_75_eco_bubble_gray_-_wf24b9600keyl_2_.jpg,https://blackbox.com.sa/en/samsung-washing-machine-front-load-24kg-dry-75-eco-bubble-gray.html,"SAR10,799"
Fisher,Air Conditioners & Accessories,"SAR3,199",FSAC - FT30CERAN1,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/f/i/fisher_split_air_conditioner_27800_btu_cold_only_white_-_fsac_-_ft30ceran1.jpg,https://blackbox.com.sa/en/fisher-split-air-conditioner-27800btu-cold-only-white.html,"SAR5,175"
Gree,Air Conditioners & Accessories,"SAR2,999",GWH24AGEXF-D3NTA1B/I,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/g/r/gree_split_air_conditioner_polar_22500_btu_wifi_cool-hot_-_gwh24agexf-d3nta1bi_1.jpg,https://blackbox.com.sa/en/gree-split-air-conditioner-polar-22500-btu-wifi-cool-hot.html,"SAR4,600"
Haier,Air Conditioners & Accessories,"SAR2,149",HSU-18LPB13/R2-T3,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/h/a/haier_split_air_conditioner_18000btu_cold_only_wi-fi_-_hsu-18lpb13_r2-t3_1.jpeg,https://blackbox.com.sa/en/haier-split-air-conditioner-18000btu-cold-only-wi-fi.html,"SAR3,249"
